Lewys Piper
Leyla Hightower
Leyton Hightower
Lharys
Lia Serry
Liane Vance
Littlesister
Lollys Stokeworth
Lomas Estermont
Lonely Light
Longbow Hall
Longsister
Longtable
Loras Tyrell
Lord Ashford
Lord Caswell
Lord Harroway's Town
Lord Hewett's castle on Oakenshield
Lord Staunton
Lordsport
Lorent Caswell
Lorent Lorch
Lorent Marbrand
Lorent Tyrell
Loreza Sand
Lorimer
Lorra Royce
Lothar Frey
Lothar Mallery
Lothor Brune
Lucamore Strong
Lucan
Lucas Blackwood
Lucas Codd
Lucas Corbray
Lucas Inchfield
Lucas Lothston
Lucas Nayland
Lucas Roote
Lucas Tyrell
Lucias Vypren
Lucifer Hardy
Lucimore Botley
Lucion Lannister
Lucos Chyttering
Lum
Luthor Tyrell
Luton
Luwin
Lyanna Mormont
Lyanna Stark
Lyarra Stark
Lyessa Flint
Lyle Crakehall
Lyman Beesbury
Lyman Darry
Lymond Goodbrook
Lymond Lychester
Lymond Mallister
Lymond Vikary
Lyn Corbray
Lynesse Hightower
Lyonel
Lyonel Baratheon
Lyonel Corbray
Lyonel Frey
Lyonel Selmy
Lyonel Strong
Lyonel Tyrell
Lyra Mormont
Lysa Arryn
Lysa Meadows
Lythene Frey
Mace Tyrell
Maddy
Maege Mormont
Maegelle Frey
Maegor I
Maekar I
Maelor Targaryen
Maelys I Blackfyre
Maidenpool
Maldon Massey
Mallor
Malwyn Frey
Mance Rayder
Mandon Moore
Manfred Dondarrion
Manfred Lothston
Manfred Swann
Manfrey Martell
Manfryd Lothston
Manfryd Yew
Margaery Tyrell
Margot Lannister
Mariah Martell
Maric Seaworth
Maris the Maid
Marissa Frey
Mariya Darry
Mark Mullendore
Mark Ryswell
Marlon Manderly
Marna Locke
Maron Botley
Maron Greyjoy
Maron Nymeros Martell
Maron Volmark
Marq Grafton
Marq Piper
Marsella Waynwood
Martyn Cassel
Martyn Lannister
Martyn Mullendore
Martyn Rivers
Marwyn Belmore
Mary Mertyns
Marya Seaworth
Matarys Targaryen
Mathis Frey
Mathis Rowan
Matrice
Matthos Seaworth
Maynard Plumm
Medgar Tully
Medger Cerwyn
Meera Reed
Megga Tyrell
Mela
Melantha Blackwood
Melara Crane
Melara Hetherspoon
Meldred Merlyn
Melesa Crakehall
Melessa Florent
Melissa Blackwood
Mellara Rivers
Mellario
Mellei
Melwyn Sarsfield
Meredyth Crane
Merianne Frey
Merlon Crakehall
Merrell Florent
Merrett Frey
Meryn Trant
Michael Mertyns
Mikken
Mina Tyrell
Minisa Whent
Missandei
Mistwood
Misty Isle
Mohor
Monford Velaryon
Monterys Velaryon
Moon Boy
Mord
Mordane
Morgan Martell
Morgarth
Morgil Hastwyck
Moribald Chester
Morra
Morrec
Morros Slynt
Mors Manwoody
Mors Martell
Mors Umber
Mortimer Boggs
Morton Waynwood
Morya Frey
Moryn Tyrell
Mudge
Munda
Murch
Murmison
Mushroom
Mya Stone
Mychel Redfort
Mylenda Caron
Myles
Myles Manwoody
Myles Mooton
Myles Smallwood
Myranda Lefford
Myranda Royce
Myrcella Baratheon
Myria Jordayne
Myriame Manderly
Myrielle Lannister
Naerys Targaryen
Nage
Nan
Ned Woods
Nella
Nestor Royce
New Barrel
New Castle in White Harbor
Newkeep
Nightsong
Ninestars
Nissa Nissa
None
None, formerly Harrenhal
Norbert Vance
Norne Goodbrother
Nute
Nymella Toland
Nymeria
Nymeria Sand
Obara Sand
Obella Sand
Oberyn Nymeros Martell
Old Anchor
Old Oak
Old Palace within Sunspear
Old Wyk
Oldcastle
Oldstones
Olene Tyrell
Olenna Redwyne
Olymer Tyrell
Olyvar Frey
Olyvar Oakheart
Omer Blackberry
Ondrew Locke
Orbert Caswell
Orkmont
Orland of Oldtown
Ormond Osgrey
Ormond Westerling
Ormond Yronwood
Ormund Baratheon
Ormund Wylde
Orton Merryweather
Orys Baratheon
Osbert Serry
Osfryd Kettleblack
Osha
Osmund Frey
Osmund Kettleblack
Osney Kettleblack
Ossifer Plumm
Ossy
Oswell Kettleblack
Oswell Whent
Othell Yarwyck
Otho Bracken
Otto Hightower
Ottyn Wythers
Owen Inchfield
Owen Norrey
Palla
Parchments
Parmen Crane
Patchface
Pate
Patrek Mallister
Paxter Redwyne
Pearse Caron
Pebble
Pebbleton
Perra Frey
Perra Royce
Perriane Frey
Perros Blackmont
Perwyn Frey
Perwyn Osgrey
Peter Plumm
Petyr Baelish
Petyr Frey
Philip Foote
Philip Plumm
Pia
Pinkmaiden Castle
Plummer
Poddingfield
Podrick Payne
Polliver
Porridge
Porther
Poul Pemford
Poxy Tym
Preston Greenfield
Puckens
Pycelle
Pyke
Qalen
Qarl Correy
Qarl Kenning
Qarl Shepherd
Qarlton Chelsted
Qhorwyn Hoare
Qorgyle
Quellon Botley
Quellon Greyjoy
Quellon Humble
Quent
Quenten Banefort
Quentin Tyrell
Quenton Greyjoy
Quenton Hightower
Quenton Qoherys
